participant,trial,presented_words,recalled_words,serial_position_score
Selma,1,duty well hair male when poor bulb ever sail coil body wire time wool tree,dirty hair male wool three,0 0 1 1 0 0 0 0 0 0 0 0 0 1 0
Selma,2,over come swim tail rule each horn like fire side grip stop dust kick cave,kick cave over come swim tale rule,1 1 1 0 1 0 0 0 0 0 0 0 0 1 1
Selma,3,nose such fish seem give cool axis with need mill cell bale walk gold volt,cell volt gold bell swim fish,0 0 1 0 0 0 0 0 0 0 1 0 0 1 1
Selma,4,swim sail clip node wave sort half wing dike fear fair this card wine into,wine into sail wind half wing,0 1 0 0 0 0 1 1 0 0 0 0 0 1 1
Selma,5,only join swim shoe belt hiss pipe whip cork well baby left nest lake node,lake node well baby left nest,0 0 0 0 0 0 0 0 0 1 1 1 1 1 1
Selma,6,taxi turn wind head army soap open dust wash duty nest soft half hire boot,hire boot taxi head dust dirt duty,1 0 0 1 0 0 0 1 0 1 0 0 0 1 1
Selma,7,lace side head crop germ skin hate cool road meal tune mass week blue snow,weak blue snow lake head,0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
Selma,8,head work high jump lung beat mean gill play busy half wool beef lake fire,lake fire half jump head game jump wool,1 0 0 1 0 0 0 0 0 0 1 1 0 1 1
Selma,9,seem lung seed walk lamp warm sail stem once soft goat head duty sock cast,head duty sock cast lace,0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
Selma,10,hope bomb hand good rise side room from than pool also tent rest weak lava,lave pool rest than tent weak,0 0 0 0 0 0 0 0 1 1 0 1 1 1 0
