participant,trial,presented_words,recalled_words,serial_position_score
Gustav,1,part hook plow than true ever tube kind dear hate five nine wing love arch,wing love arch true nine five,0 0 0 0 1 0 0 0 0 0 1 1 1 1 1
Gustav,2,hate mood talk same take girl neat load hiss fire fear copy list rich pull,fear rich pull talk list,0 0 1 0 0 0 0 0 0 0 1 0 1 1 1
Gustav,3,flag left leaf five lens hour nose fork belt lamp loss need knot race hard,flag left leaf five,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
Gustav,4,wise test safe tent foot ring move like weak chin link slip ever bite fume,weak chin ever fume,0 0 0 0 0 0 0 0 1 1 0 0 1 0 1
Gustav,5,gram note plan visa code down oval bang loud mist undo walk room onto lame,undo room onto lame visa,0 0 0 1 0 0 0 0 0 0 1 0 1 1 1
Gustav,6,silk bark male deep tray song kiss lens nest hole dear word seat note wire,dear word seat note wire talk,0 0 0 0 0 0 0 0 0 0 1 1 1 1 1
Gustav,7,wall burn pair four pump wide date tent fish moon lens both onto iron side,wall burn pair onto iron moon lens,1 1 1 0 0 0 0 0 0 1 1 0 1 1 0
Gustav,8,part cool nice good tent gill then food note hand pure cork near hurt wind,pure cork near hurt wind cool nice part,1 1 1 0 0 0 0 0 0 0 1 1 1 1 1
Gustav,9,pair star vote play edge flag fair time bank taxi soup next cafe meal load,pair next cafe soup meal tent,1 0 0 0 0 0 0 0 0 0 1 1 1 1 0
Gustav,10,lung soil have slow cafe ugly road mess wide mind take rail line fall upon,rail line fall upon cafe lung,1 0 0 0 1 0 0 0 0 0 0 1 1 1 1
