participant,trial,presented_words,recalled_words,serial_recall_score,presentation_start_time,presentation_end_time,recall_start_time
Gustav,1,we're that the would woman it if idea is you,we're that,1 1 0 0 0 0 0 0 0 0,1789474720.1078598,1789474735.643065,1789474735.6430662
Gustav,2,that say to be told life a case know are,that say to,1 1 1 0 0 0 0 0 0 0,1789474751.264404,1789474766.331688,1789474766.33169
Gustav,3,right for be will will were This book take what,that right be will,0 0 1 1 0 0 0 0 0 0,1789474772.026997,1789474787.0727448,1789474787.072747
Gustav,4,a big yet you This much of make She as,that big you,0 1 0 0 0 0 0 0 0 0,1789474793.3817751,1789474808.450277,1789474808.450279
Gustav,5,them take new to they her you has help It,,0 0 0 0 0 0 0 0 0 0,1789474814.8044522,1789474829.863368,1789474829.863369
Gustav,6,to wash Could that he know than put was Are,to wash,1 1 0 0 0 0 0 0 0 0,1789474832.611531,1789474847.6733088,1789474847.67331
Gustav,7,likely the you're it have bank get me was their,likely the it youøre,1 1 0 0 0 0 0 0 0 0,1789474851.141161,1789474866.213995,1789474866.2139971
Gustav,8,Earth take as you what They to soon will is,earth TAKE the,1 1 0 0 0 0 0 0 0 0,1789474877.176275,1789474892.252165,1789474892.2521658
Gustav,9,long you she paper soon night this night of grow,long you she paper,1 1 1 1 0 0 0 0 0 0,1789475036.5172749,1789475051.6075652,1789475051.607566
Gustav,10,do me bus how It stay kid it with run,do me it bus how it stay,1 1 0 0 0 0 0 0 0 0,1789475056.263136,1789475071.325197,1789475071.3251991
