participant,trial,presented_words,recalled_words,serial_position_score
Nanna,1,weak roof view link open fair load coal wide care salt than gram pull make,gram pull make salt weak yawn lake with,1 0 0 0 0 0 0 0 0 0 1 0 1 1 1
Nanna,2,edge soil hold crop hour talk June slow rail bird wave melt beak deck once,once beak deck yawn make crop june yell loud,0 0 0 1 0 0 0 0 0 0 0 0 1 1 1
Nanna,3,fold July hand rust loan dull road rail path nose upon mind dust dark west,dust dark rust rail road make,0 0 0 1 0 0 1 1 0 0 0 0 1 1 0
Nanna,4,rain loss chin slow wall twin lock king when make such even fish wise shut,shut fish wish hook king with when make,0 0 0 0 0 0 0 1 1 1 0 0 1 0 1
Nanna,5,dull beer well lamp fall stem jazz salt seat cusp hope thin envy sill road,road sill cusp yawn dill beer when with,0 1 0 0 0 0 0 0 0 1 0 0 0 1 1
Nanna,6,beer mood with bulb milk nine well some chin purr fish jump bank bale year,fish yawn year bank bale cold with,0 0 1 0 0 0 0 0 0 0 1 0 1 1 1
Nanna,7,lame wild gram call blow plow fact cook pure lamp sand mood germ cusp land,fish germ land sand mood,0 0 0 0 0 0 0 0 0 0 1 1 1 0 1
Nanna,8,snow ever farm date cusp lump jerk soap kind east iron week volt blue idea,ideal blue volt year farm,0 0 1 0 0 0 0 0 0 0 0 0 1 1 0
Nanna,9,shut real wall step door mill boat body five bell fold wing clip food soap,clip food soap five body mill step wall,0 0 1 1 0 1 0 1 1 0 0 0 1 1 1
Nanna,10,give note card plow nine shoe show mass girl mist loud love have tube room,room girl mist loud love give card five,1 0 1 0 0 0 0 0 1 1 1 1 0 0 1
